monto_sol_dev,ejercicio,periodo
15657,2016,2
11342,2016,2
787,2016,2
133,2016,2
169,2016,2
11729,2016,2
168,2016,2
1739,2016,2
1122,2016,2
2948,2016,2
6068,2016,2
1439,2016,2
134298,2016,2
2884,2016,2
2123,2016,2
871,2016,2
29394,2016,2
4729,2016,2
30019,2016,2
103,2016,2
5994,2016,2
133943,2016,2
121362,2016,2
437656,2016,2
15693,2016,2
68908,2016,2
239507,2016,2
35870,2016,2
3726,2016,2
7673,2016,2
11212,2016,2
205959,2016,2
10809,2016,2
68186,2016,2
2385,2016,2
71032,2016,2
3372,2016,2
116199,2016,2
93923,2016,2
23476,2016,2
112962,2016,3
112962,2016,2
180342,2016,2
84443,2016,2
260222,2016,2
545564,2016,2
8298,2016,2
55581,2016,2
39376,2016,2
12024,2016,2
261282,2016,2
2050,2016,2
6471,2016,2
279891,2016,2
32671,2016,2
167880,2016,2
264463,2016,2
23748,2016,2
44192,2016,2
26392,2016,2
2331,2016,2
254995,2016,2
107232,2016,2
88,2016,2
192,2016,2
682767,2016,2
411,2016,2
995467,2016,2
4642,2016,2
7705,2016,2
88080,2016,2
625991,2016,2
394135,2016,2
764,2016,2
203995,2016,2
209590,2016,2
92934,2016,2
48302,2016,2
256812,2016,2
2112,2016,2
9,2016,2
9978,2016,2
82452,2016,2
352520,2016,2
335958,2016,2
24417,2016,2
11546,2016,2
26,2016,2
198542,2016,2
3878,2016,2
19710,2016,2
90080,2016,2
432901,2016,2
58432,2016,2
61186,2016,2
13780,2016,2
320344,2016,2
13276,2016,2
33263,2016,2
412,2016,2
907134,2016,2
4664,2016,2
821553,2016,2
335366,2016,2
269,2016,2
182109,2016,2
3797,2016,2
10572,2016,2
478746,2016,2
2083,2016,2
45259,2016,2
15147,2016,2
600997,2016,2
131719,2016,2
8568,2016,2
697673,2016,2
215,2016,2
47286,2016,2
8711,2016,2
8567,2016,2
361162,2016,2
8701,2016,2
577611,2016,2
38963,2016,2
16536,2016,2
964,2016,2
76835,2016,2
369248,2016,2
211261,2016,2
535525,2016,2
23405,2016,2
59877,2016,2
36542,2016,2
6824,2016,2
8502,2016,2
21991,2016,2
236648,2016,2
802911,2016,2
24633,2016,2
287673,2016,2
8497,2016,2
63622,2016,2
54580,2016,2
8432,2016,2
624,2016,2
40067,2016,2
12796,2016,2
68827,2016,2
2462,2016,2
2618,2016,2
460616,2016,2
6255,2016,2
970073,2016,2
3073,2016,2
95012,2016,2
648369,2016,2
3569,2016,2
87996,2016,2
13546,2016,2
172269,2016,2
765059,2016,2
929860,2016,2
29574,2016,2
6842,2016,2
5728,2016,2
295142,2016,2
33407,2016,2
3600,2016,2
770,2016,2
10,2016,2
7350,2016,2
547361,2016,2
9096,2016,2
1385,2016,2
2543,2016,2
5492,2016,2
1191,2016,2
49,2016,2
182,2016,2
1202,2016,2
1685,2016,2
3532,2016,2
467915,2016,2
781,2016,2
303077,2016,2
5682,2016,2
134,2016,2
133408,2016,2
1242,2016,2
7988,2016,2
1039,2016,2
3993,2016,2
475392,2016,2
4560,2016,2
4385,2016,2
